Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-04-01,12:04:00 AM,Wednesday,BLOOR STATION,SUDP,6,11,S,YU,5766
2020-04-01,12:06:00 AM,Wednesday,FINCH STATION,MUI,5,10,S,YU,5401
2020-04-01,1:55:00 AM,Wednesday,FINCH STATION,MUIS,0,0,,YU,0
2020-04-01,2:37:00 AM,Wednesday,YONGE SHP STATION,TUMVS,0,0,W,SHP,6186
2020-04-01,5:14:00 AM,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,5:16:00 AM,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,5:52:00 AM,Wednesday,GREENWOOD STATION,MUNOA,4,8,E,BD,0
2020-04-01,5:54:00 AM,Wednesday,KENNEDY BD STATION,MUNOA,4,8,W,BD,0
2020-04-01,5:56:00 AM,Wednesday,DAVISVILLE STATION,MUNOA,3,5,S,YU,0
2020-04-01,5:57:00 AM,Wednesday,GREENWOOD STATION,PUTOE,0,0,E,BD,0
2020-04-01,6:00:00 AM,Wednesday,DAVISVILLE STATION,MUNOA,3,5,N,YU,0
2020-04-01,6:08:00 AM,Wednesday,BATHURST STATION,MUIS,0,0,,BD,0
2020-04-01,6:08:00 AM,Wednesday,DUNDAS WEST STATION,SUDP,3,5,W,BD,5282
2020-04-01,6:13:00 AM,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,6:21:00 AM,Wednesday,ISLINGTON STATION,SUDP,3,5,W,BD,5282
2020-04-01,6:23:00 AM,Wednesday,DUPONT STATION,MUI,3,5,S,YU,5776
2020-04-01,6:26:00 AM,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,N,YU,0
2020-04-01,6:27:00 AM,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,6:28:00 AM,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,N,YU,0
2020-04-01,6:29:00 AM,Wednesday,DONLANDS STATION,MUNOA,3,5,W,BD,0
2020-04-01,6:33:00 AM,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,6:35:00 AM,Wednesday,DAVISVILLE STATION,MUNOA,3,5,N,YU,0
2020-04-01,6:38:00 AM,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,6:41:00 AM,Wednesday,RUNNYMEDE STATION,SUDP,0,0,E,BD,0
2020-04-01,7:09:00 AM,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,7:10:00 AM,Wednesday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2020-04-01,7:11:00 AM,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,7:21:00 AM,Wednesday,ST ANDREW STATION,MUATC,3,5,S,YU,5676
2020-04-01,7:39:00 AM,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,8:25:00 AM,Wednesday,DUFFERIN STATION,SUDP,3,5,E,BD,5095
2020-04-01,9:09:00 AM,Wednesday,WILSON STATION,MUATC,5,8,S,YU,5806
2020-04-01,10:08:00 AM,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,10:21:00 AM,Wednesday,FINCH STATION,MUIS,0,0,,YU,0
2020-04-01,12:04:00 PM,Wednesday,FINCH STATION,MUTO,6,9,S,YU,5431
